Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Michele Bello,0.9545454545454546,33.2,8.7,0.1,2.5,3.6,12.7,3.7,1.3,0.8,1.1,2.3,20.0,18.1,0.682,354.0,192
Dotan Ben-David,1.0,39.0,8.3,0.8,2.2,2.7,12.4,1.8,1.6,0.6,0.9,3.3,19.6,16.3,0.5,96.0,0
Ron Fisk,0.7727272727272727,33.5,8.2,0.5,2.4,3.4,11.9,1.3,0.8,0.6,0.6,1.4,19.3,16.8,0.136,-642.0,0
Donardas Folomejevas,1.0,38.5,7.7,1.0,2.8,1.0,3.2,4.5,0.8,1.4,0.1,1.5,19.3,16,0.591,173.0,40
Hvilimon Zianevich,1.0,26.6,7.8,1.2,2.4,1.2,5.0,1.4,1.1,0.9,0.6,1.7,19.2,14.7,0.727,316.0,11
Panayiotis Salpigkidis,0.9545454545454546,36.8,7.4,0.7,3.3,3.1,12.8,2.5,2.1,0.6,0.8,2.7,18.9,16.7,0.409,173.0,0
Arthur Glass,0.9090909090909091,32.6,7.4,2.4,1.4,0.6,2.5,2.1,1.2,0.4,0.2,1.7,18.6,15.1,0.545,124.0,0
Thomas De Sousa,0.7727272727272727,34.1,6.8,1.0,3.9,0.9,3.6,5.8,0.9,1.2,0.2,1.4,18.5,17.5,0.818,538.0,19
Kristijan MatijaÅ¡eviÄ,0.8181818181818182,37.4,7.6,0.4,2.9,2.0,12.7,0.2,1.7,0.8,1.1,1.7,18.5,17.6,0.818,538.0,44
Gary Acker,0.9545454545454546,32.2,7.6,0.6,2.7,2.9,13.5,2.2,1.1,0.5,1.0,1.4,18.4,17.1,0.591,312.0,123
Josh Donovan,0.8636363636363636,33.5,7.4,0.3,3.3,2.2,9.3,1.5,1.3,0.6,1.2,2.8,18.3,16.6,0.5,-83.0,0
XimÃ³ Padral,0.9545454545454546,33.9,7.5,0.3,2.7,2.2,9.4,2.1,1.4,0.8,0.5,1.7,18.0,15.8,0.545,68.0,0
Shawn Bowens,0.9090909090909091,31.6,7.7,0.1,2.4,2.9,12.4,3.2,0.8,0.7,1.2,1.4,17.9,17.8,0.5,-83.0,5
Gary Strauss,0.9545454545454546,38.7,7.4,0.3,2.7,2.9,13.5,1.3,1.8,0.7,1.0,2.1,17.7,18,0.409,173.0,0
Alex Miguel Criollo,0.9545454545454546,31.6,7.2,0.4,2.8,1.3,5.0,2.6,1.0,0.7,0.5,3.1,17.6,16.5,0.591,312.0,3
Jan Kujtkowski,0.8636363636363636,33.9,7.3,0.5,2.5,2.4,9.3,3.1,1.5,1.3,0.7,1.4,17.6,14,0.5,100.0,0
Eugene Smith,0.8636363636363636,32.3,6.7,1.3,2.6,3.6,11.3,1.4,1.5,0.8,0.9,2.1,17.3,15.1,0.273,-369.0,0
AntÃ´nio Carlos GodÃ³i Neto,0.9545454545454546,32.0,7.0,1.5,1.5,1.2,4.7,2.8,0.8,0.8,0.1,0.8,16.9,15.6,0.636,224.0,0
Cheng Enli,0.7727272727272727,30.1,6.9,0.1,2.8,2.0,10.6,1.9,0.9,0.6,0.9,2.1,16.6,18,0.818,538.0,15
Fausto Cipolli,0.9545454545454546,34.8,6.8,0.0,2.8,3.1,11.4,1.2,1.8,0.6,0.4,1.5,16.4,17.8,0.636,224.0,22
Wu Ao Xiang,1.0,45.2,7.2,0.5,1.4,1.6,6.5,4.6,1.8,1.1,0.3,2.7,16.4,13.3,0.5,96.0,0
Colby Sanchez,0.9545454545454546,36.7,6.4,1.0,2.0,0.9,4.3,3.3,1.3,1.4,0.3,1.2,16.0,14.5,0.682,354.0,0
Audronius VindÅ¾egalskis,0.9545454545454546,38.5,7.0,0.6,1.5,2.6,7.3,3.7,2.0,0.5,0.6,1.8,16.0,14.4,0.409,173.0,0
